11:22:36.100,array('B', [0])
11:22:36.281,array('B', [0])
11:22:36.293,array('B', [0])
11:22:36.304,array('B', [0])
11:22:36.316,array('B', [0])
11:22:36.326,array('B', [0])
11:22:36.337,array('B', [0])
11:22:36.349,array('B', [0])
11:22:36.360,array('B', [0])
11:22:36.371,array('B', [0])
11:22:36.382,array('B', [0])
11:22:36.393,array('B', [0])
11:22:36.404,array('B', [0])
11:22:36.415,array('B', [0])
11:22:36.426,array('B', [0])
11:22:36.437,array('B', [0])
11:22:36.448,array('B', [0])
11:22:36.625,array('B', [0])
11:22:36.635,array('B', [0])
11:22:36.646,array('B', [0])
11:22:36.658,array('B', [0])
11:22:36.669,array('B', [0])
11:22:36.680,array('B', [0])
11:22:36.691,array('B', [0])
11:22:36.703,array('B', [0])
11:22:36.714,array('B', [0])
11:22:36.725,array('B', [0])
11:22:36.736,array('B', [0])
11:22:36.746,array('B', [0])
11:22:36.757,array('B', [0])
11:22:36.769,array('B', [0])
11:22:36.780,array('B', [0])
11:22:36.791,array('B', [0])
11:22:36.802,array('B', [0])
11:22:36.813,array('B', [0])
11:22:36.824,array('B', [0])
11:22:36.835,array('B', [0])
11:22:37.012,array('B', [0])
11:22:37.023,array('B', [0])
11:22:37.034,array('B', [0])
11:22:37.045,array('B', [0])
11:22:37.056,array('B', [0])
11:22:37.068,array('B', [0])
11:22:37.079,array('B', [0])
11:22:37.090,array('B', [0])
11:22:37.101,array('B', [0])
11:22:37.112,array('B', [0])
11:22:37.123,array('B', [0])
11:22:37.134,array('B', [0])
11:22:37.145,array('B', [0])
11:22:37.157,array('B', [0])
11:22:37.168,array('B', [0])
11:22:37.179,array('B', [0])
11:22:37.190,array('B', [0])
11:22:37.201,array('B', [0])
11:22:37.212,array('B', [0])
11:22:37.387,array('B', [0])
11:22:37.398,array('B', [0])
11:22:37.409,array('B', [0])
11:22:37.420,array('B', [0])
11:22:37.432,array('B', [0])
11:22:37.443,array('B', [0])
11:22:37.453,array('B', [0])
11:22:37.464,array('B', [0])
11:22:37.475,array('B', [0])
11:22:37.486,array('B', [0])
11:22:37.498,array('B', [0])
11:22:37.508,array('B', [0])
11:22:37.519,array('B', [0])
11:22:37.531,array('B', [0])
11:22:37.542,array('B', [0])
11:22:37.553,array('B', [0])
11:22:37.564,array('B', [0])
11:22:37.735,array('B', [0])
11:22:37.748,array('B', [0])
11:22:37.759,array('B', [0])
11:22:37.771,array('B', [0])
11:22:37.782,array('B', [0])
11:22:37.793,array('B', [0])
11:22:37.804,array('B', [0])
11:22:37.815,array('B', [0])
11:22:37.826,array('B', [0])
11:22:37.838,array('B', [0])
11:22:37.849,array('B', [0])
11:22:37.860,array('B', [0])
11:22:37.871,array('B', [0])
11:22:37.882,array('B', [0])
11:22:37.894,array('B', [0])
11:22:37.905,array('B', [0])
11:22:37.916,array('B', [0])
11:22:38.093,array('B', [0])
11:22:38.105,array('B', [0])
11:22:38.117,array('B', [0])
11:22:38.128,array('B', [0])
11:22:38.139,array('B', [0])
11:22:38.151,array('B', [0])
11:22:38.162,array('B', [0])
11:22:38.173,array('B', [0])
11:22:38.184,array('B', [0])
11:22:38.195,array('B', [0])
11:22:38.206,array('B', [0])
11:22:38.218,array('B', [0])
11:22:38.229,array('B', [0])
11:22:38.240,array('B', [0])
11:22:38.251,array('B', [0])
11:22:38.263,array('B', [0])
11:22:38.436,array('B', [0])
11:22:38.447,array('B', [0])
11:22:38.458,array('B', [0])
11:22:38.470,array('B', [0])
11:22:38.480,array('B', [0])
11:22:38.492,array('B', [0])
11:22:38.503,array('B', [0])
11:22:38.514,array('B', [0])
11:22:38.525,array('B', [0])
11:22:38.536,array('B', [0])
11:22:38.547,array('B', [0])
11:22:38.559,array('B', [0])
11:22:38.570,array('B', [0])
11:22:38.581,array('B', [0])
11:22:38.592,array('B', [0])
11:22:38.603,array('B', [0])
