16:31:09.035,array('B', [0])
16:31:09.064,array('B', [0])
16:31:09.076,array('B', [0])
16:31:09.087,array('B', [0])
16:31:09.098,array('B', [0])
16:31:09.125,array('B', [0])
16:31:09.136,array('B', [0])
16:31:09.147,array('B', [0])
16:31:09.158,array('B', [0])
16:31:09.177,array('B', [0])
16:31:09.188,array('B', [0])
16:31:09.207,array('B', [0])
16:31:09.218,array('B', [0])
16:31:09.239,array('B', [0])
16:31:09.250,array('B', [0])
16:31:09.278,array('B', [0])
16:31:09.290,array('B', [0])
16:31:09.301,array('B', [0])
16:31:09.312,array('B', [0])
16:31:09.331,array('B', [0])
16:31:09.343,array('B', [0])
16:31:09.370,array('B', [0])
16:31:09.381,array('B', [0])
16:31:09.400,array('B', [0])
16:31:09.412,array('B', [0])
16:31:09.423,array('B', [0])
16:31:09.433,array('B', [0])
16:31:09.461,array('B', [0])
16:31:09.473,array('B', [0])
16:31:09.491,array('B', [0])
16:31:09.502,array('B', [0])
16:31:09.514,array('B', [0])
16:31:09.524,array('B', [0])
16:31:09.545,array('B', [0])
16:31:09.557,array('B', [0])
16:31:09.584,array('B', [0])
16:31:09.595,array('B', [0])
16:31:09.614,array('B', [0])
16:31:09.625,array('B', [0])
16:31:09.645,array('B', [0])
16:31:09.656,array('B', [0])
16:31:09.667,array('B', [0])
16:31:09.678,array('B', [0])
16:31:09.697,array('B', [0])
16:31:09.708,array('B', [0])
16:31:09.728,array('B', [0])
16:31:09.740,array('B', [0])
16:31:09.750,array('B', [0])
16:31:09.775,array('B', [0])
16:31:09.788,array('B', [0])
16:31:09.799,array('B', [0])
16:31:09.809,array('B', [0])
16:31:09.827,array('B', [0])
16:31:09.838,array('B', [0])
16:31:09.849,array('B', [0])
16:31:09.860,array('B', [0])
16:31:09.881,array('B', [0])
16:31:09.891,array('B', [0])
16:31:09.902,array('B', [0])
16:31:09.913,array('B', [0])
16:31:09.924,array('B', [0])
16:31:09.941,array('B', [0])
16:31:09.952,array('B', [0])
16:31:09.979,array('B', [0])
16:31:09.990,array('B', [0])
16:31:10.007,array('B', [0])
16:31:10.018,array('B', [0])
16:31:10.039,array('B', [0])
16:31:10.051,array('B', [0])
16:31:10.063,array('B', [0])
16:31:10.074,array('B', [0])
16:31:10.102,array('B', [0])
16:31:10.114,array('B', [0])
16:31:10.125,array('B', [0])
16:31:10.136,array('B', [0])
16:31:10.155,array('B', [0])
16:31:10.186,array('B', [0])
16:31:10.197,array('B', [0])
16:31:10.207,array('B', [0])
16:31:10.218,array('B', [0])
16:31:10.229,array('B', [0])
16:31:10.256,array('B', [0])
16:31:10.267,array('B', [0])
16:31:10.283,array('B', [0])
16:31:10.294,array('B', [0])
16:31:10.316,array('B', [0])
16:31:10.328,array('B', [0])
16:31:10.347,array('B', [0])
16:31:10.359,array('B', [0])
16:31:10.378,array('B', [0])
16:31:10.388,array('B', [0])
16:31:10.401,array('B', [0])
16:31:10.411,array('B', [0])
16:31:10.432,array('B', [0])
16:31:10.444,array('B', [0])
16:31:10.462,array('B', [0])
16:31:10.474,array('B', [0])
16:31:10.485,array('B', [0])
16:31:10.510,array('B', [0])
16:31:10.523,array('B', [0])
16:31:10.534,array('B', [0])
16:31:10.553,array('B', [0])
16:31:10.565,array('B', [0])
16:31:10.575,array('B', [0])
16:31:10.590,array('B', [0])
16:31:10.602,array('B', [0])
16:31:10.621,array('B', [0])
16:31:10.633,array('B', [0])
16:31:10.650,array('B', [0])
16:31:10.661,array('B', [0])
16:31:10.684,array('B', [0])
16:31:10.696,array('B', [0])
16:31:10.707,array('B', [0])
16:31:10.717,array('B', [0])
16:31:10.728,array('B', [0])
16:31:10.739,array('B', [0])
